count, date
5541815,2019-10-28 13:37:42
5541815,2019-10-28 13:37:52
5541906,2019-10-28 13:38:02
5541929,2019-10-28 13:38:13
5541929,2019-10-28 13:38:22
5542018,2019-10-28 13:38:32
5542273,2019-10-28 13:38:43
5542273,2019-10-28 13:38:52
5542313,2019-10-28 13:39:02
5542367,2019-10-28 13:39:12
5542397,2019-10-28 13:39:22
5542467,2019-10-28 13:39:32
5542467,2019-10-28 13:39:42
5542520,2019-10-28 13:39:53
5542520,2019-10-28 13:40:02
5542565,2019-10-28 13:40:13
5542565,2019-10-28 13:40:22
5542674,2019-10-28 13:40:32
5542674,2019-10-28 13:40:42
5543008,2019-10-28 13:40:52
5543144,2019-10-28 13:41:02
5543205,2019-10-28 13:41:12
5543246,2019-10-28 13:41:23
5543246,2019-10-28 13:41:32
5543410,2019-10-28 13:41:43
5543410,2019-10-28 13:41:52
5543456,2019-10-28 13:42:02
5543495,2019-10-28 13:42:13
5543530,2019-10-28 13:42:23
5543530,2019-10-28 13:42:32
5543545,2019-10-28 13:42:42
5543585,2019-10-28 13:42:52
5543600,2019-10-28 13:43:02
5543620,2019-10-28 13:43:12
5543738,2019-10-28 13:43:23
5543738,2019-10-28 13:43:32
5543783,2019-10-28 13:43:42
5543859,2019-10-28 13:43:52
5543929,2019-10-28 13:44:02
5544008,2019-10-28 13:44:12
5544008,2019-10-28 13:44:23
5544008,2019-10-28 13:44:32
5544030,2019-10-28 13:44:42
5544125,2019-10-28 13:44:52
5544193,2019-10-28 13:45:03
5544241,2019-10-28 13:45:13
5544241,2019-10-28 13:45:22
5544252,2019-10-28 13:45:32
5544289,2019-10-28 13:45:42
5544303,2019-10-28 13:45:52
5544336,2019-10-28 13:46:02
5544359,2019-10-28 13:46:13
5544359,2019-10-28 13:46:22
5544371,2019-10-28 13:46:32
5544427,2019-10-28 13:46:42
5544511,2019-10-28 13:46:53
5544511,2019-10-28 13:47:02
5544537,2019-10-28 13:47:12
5544571,2019-10-28 13:47:22
5544576,2019-10-28 13:47:32
5544643,2019-10-28 13:47:42
5544669,2019-10-28 13:47:52
5544704,2019-10-28 13:48:02
5544744,2019-10-28 13:48:12
5544754,2019-10-28 13:48:22
5544777,2019-10-28 13:48:34
5544921,2019-10-28 13:48:44
5544983,2019-10-28 13:48:54
5545022,2019-10-28 13:49:04
5545022,2019-10-28 13:49:12
5545043,2019-10-28 13:49:22
5545049,2019-10-28 13:49:32
5545123,2019-10-28 13:49:42
5545140,2019-10-28 13:49:52
5545167,2019-10-28 13:50:02
5545178,2019-10-28 13:50:12
5545198,2019-10-28 13:50:22
5545213,2019-10-28 13:50:34
5545213,2019-10-28 13:50:44
5545247,2019-10-28 13:50:54
5545247,2019-10-28 13:51:02
5545273,2019-10-28 13:51:12
5545352,2019-10-28 13:51:23
5545389,2019-10-28 13:51:34
5545389,2019-10-28 13:51:42
5545454,2019-10-28 13:51:54
5545454,2019-10-28 13:52:04
5545474,2019-10-28 13:52:12
5545685,2019-10-28 13:52:24
5545794,2019-10-28 13:52:34
5545794,2019-10-28 13:52:44
5545869,2019-10-28 13:52:54
5545887,2019-10-28 13:53:04
5545887,2019-10-28 13:53:14
5545912,2019-10-28 13:53:22
5545983,2019-10-28 13:53:34
5546042,2019-10-28 13:53:44
5546042,2019-10-28 13:53:54
5546112,2019-10-28 13:54:02
5546138,2019-10-28 13:54:12
5546158,2019-10-28 13:54:22
5546178,2019-10-28 13:54:32
5546208,2019-10-28 13:54:44
5546243,2019-10-28 13:54:54
5546273,2019-10-28 13:55:04
5546273,2019-10-28 13:55:12
5546419,2019-10-28 13:55:24
5546419,2019-10-28 13:55:34
5546444,2019-10-28 13:55:44
5546584,2019-10-28 13:55:52
5546591,2019-10-28 13:56:02
5546646,2019-10-28 13:56:12
5546702,2019-10-28 13:56:22
5546847,2019-10-28 13:56:34
5546847,2019-10-28 13:56:44
5546847,2019-10-28 13:56:53
5546930,2019-10-28 13:57:04
5546930,2019-10-28 13:57:13
5546955,2019-10-28 13:57:24
5546955,2019-10-28 13:57:33
5547011,2019-10-28 13:57:43
5547106,2019-10-28 13:57:54
5547106,2019-10-28 13:58:03
5547136,2019-10-28 13:58:13
5547209,2019-10-28 13:58:24
5547209,2019-10-28 13:58:33
5547240,2019-10-28 13:58:43
5547456,2019-10-28 13:58:54
5547456,2019-10-28 13:59:03
5547473,2019-10-28 13:59:13
5547564,2019-10-28 13:59:23
5547564,2019-10-28 13:59:33
5547719,2019-10-28 13:59:43
5547719,2019-10-28 13:59:54
5547816,2019-10-28 14:00:03
5547816,2019-10-28 14:00:14
5547884,2019-10-28 14:00:24
5547884,2019-10-28 14:00:33
5547945,2019-10-28 14:00:43
5548007,2019-10-28 14:00:53
5548057,2019-10-28 14:01:03
5548206,2019-10-28 14:01:14
5548206,2019-10-28 14:01:23
5548228,2019-10-28 14:01:33
5548243,2019-10-28 14:01:43
5548250,2019-10-28 14:01:54
5548250,2019-10-28 14:02:03
5548363,2019-10-28 14:02:14
5548363,2019-10-28 14:02:23
5548591,2019-10-28 14:02:33
5548591,2019-10-28 14:02:44
5548708,2019-10-28 14:02:54
5548738,2019-10-28 14:03:03
5548748,2019-10-28 14:03:14
5548748,2019-10-28 14:03:23
5548799,2019-10-28 14:03:33
5548829,2019-10-28 14:03:44
5548930,2019-10-28 14:03:54
5548930,2019-10-28 14:04:03
5548976,2019-10-28 14:04:14
5549126,2019-10-28 14:04:23
5549152,2019-10-28 14:04:33
5549159,2019-10-28 14:04:44
5549170,2019-10-28 14:04:53
5549180,2019-10-28 14:05:04
5549236,2019-10-28 14:05:13
5549273,2019-10-28 14:05:23
5549328,2019-10-28 14:05:33
5549383,2019-10-28 14:05:44
5549383,2019-10-28 14:05:53
