epoch, date
1572620138235,11360840
1572620148249,11360945
1572620158299,11360967
1572620166853,11360967
1572620176895,11361065
1572620189688,11361126
1572620196905,11361126
1572620208311,11361167
1572620218343,11361183
1572620228319,11361210
1572620238333,11361230
1572620248319,11361261
1572620256947,11361297
1572620268372,11361349
1572620278334,11361869
1572620288450,11361919
1572620298402,11362018
1572620308468,11362018
1572620318362,11362129
1572620328378,11362129
1572620338375,11362129
1572620348382,11362149
1572620358387,11362174
1572620368401,11362204
1572620378402,11362246
1572620388433,11362248
1572620398417,11362480
1572620408435,11362700
1572620418444,11362740
1572620428454,11362775
1572620438512,11362790
1572620448471,11362809
1572620458491,11362820
1572620468492,11362835
1572620478743,11362851
1572620488691,11362851
1572620498554,11362923
1572620508520,11362938
1572620518927,11362969
1572620528520,11362984
1572620537131,11362984
1572620547120,11363002
1572620558540,11363018
1572620568540,11363026
1572620578548,11363054
1572620588572,11363078
1572620598610,11363085
1572620607268,11363085
1572620618592,11363106
1572620627173,11363106
1572620638609,11363176
1572620647196,11363176
1572620658624,11363221
1572620667242,11363221
1572620678627,11363401
1572620687219,11363401
1572620697266,11364477
1572620707272,11364477
1572620718669,11364517
1572620727258,11364517
1572620738693,11364547
1572620747314,11364547
1572620757329,11364558
1572620768724,11364588
1572620777342,11364639
1572620788721,11364662
1572620797343,11364662
1572620808778,11364774
1572620817367,11364774
1572620827349,11364870
1572620838757,11364880
1572620847381,11364880
1572620858794,11364905
1572620867396,11364905
1572620877403,11364905
1572620887523,11364969
1572620897426,11365074
1572620907533,11365107
1572620918824,11365128
1572620927417,11365128
1572620938833,11365199
1572620947466,11365221
1572620958848,11365230
1572620967453,11365230
1572620978874,11365345
1572620987468,11365345
1572620998970,11365513
1572621007507,11365513
1572621017487,11365541
1572621028923,11365576
1572621037505,11365576
1572621048933,11365781
1572621058968,11365781
1572621068959,11365825
1572621077564,11365825
1572621087552,11365860
1572621098952,11365867
1572621107579,11365867
1572621118972,11365909
1572621127572,11365909
1572621139015,11365985
1572621147559,11365985
1572621158994,11366100
1572621168997,11366111
1572621177594,11366111
1572621187636,11366187
1572621199088,11366207
1572621207747,11366207
1572621217651,11366290
1572621227661,11366316
1572621239053,11366368
1572621247678,11366368
1572621259060,11366422
1572621267683,11366422
1572621279105,11366523
1572621287672,11366523
1572621299083,11366572
1572621309098,11366660
1572621317692,11366660
1572621329111,11366676
1572621337729,11366676
1572621347745,11366732
1572621357721,11368043
1572621369157,11368066
1572621379150,11368066
1572621387773,11368066
1572621397759,11368087
1572621407794,11368127
1572621419192,11368156
1572621427794,11368156
1572621437812,11368258
1572621447818,11368278
1572621459210,11368484
1572621467824,11368484
1572621479221,11368536
1572621487824,11368536
1572621499235,11368689
1572621509345,11368689
1572621519265,11368694
1572621529276,11368809
1572621539265,11368814
1572621549282,11368829
